Date,Category,Amount,Description
2026-04-01,Food,25.50,Lunch at Cafe
2026-04-01,Transport,15.00,Uber to office
2026-04-02,Entertainment,50.00,Movie night
2026-04-03,Food,12.00,Breakfast
2026-04-04,Shopping,120.00,New Shoes
2026-04-05,Utilities,85.00,Electricity bill
2026-04-06,Food,30.00,Dinner
2026-04-07,Transport,10.00,Bus fare
2026-04-08,Food,15.00,Groceries
2026-04-09,Entertainment,40.00,Gaming
2026-04-10,Shopping,55.00,Gift
2026-04-11,Food,20.00,Pizza
2026-04-12,Transport,18.00,Fuel
2026-04-13,Utilities,45.00,Water bill
2026-04-14,Food,22.00,Snacks
2026-04-15,Shopping,200.00,Electronics
2026-04-16,Transport,12.00,Train ticket
2026-04-17,Food,18.50,Lunch
2026-04-18,Entertainment,60.00,Concert
2026-04-19,Food,25.00,Brunch
2026-04-20,Shopping,40.00,Clothing
2026-04-21,Utilities,110.00,Internet bill
2026-04-22,Food,14.00,Coffee
2026-04-23,Transport,20.00,Taxi
2026-04-24,Food,35.00,Dinner with friends
2026-04-25,Shopping,30.00,Books
2026-04-26,Entertainment,25.00,Bowling
2026-04-27,Food,19.00,Lunch
2026-04-28,Transport,15.00,Uber
2026-04-29,Food,28.00,Takeaway
2026-04-30,Shopping,75.00,Home decor
